,PLAYER NAME,PLAYER TEAM,PLAYER POSITION,STATUS,PROJ,PASSING YDS,PASSING TD,PASSING INT,RUSHING CAR,RUSHING YDS,RUSHING TD,RECEIVING REC,RECEIVING YDS,RECEIVING TD,RECEIVING TAR,MISC 2PC,MISC FUML,MISC TD,TOTAL,PASSING COMPLETION,PASSING ATTEMPTS,Opponent,Location,Date
2772,Ryan Griffin,FA,TE,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2773,Tevin Coleman,FA,RB,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2774,Mike Davis,FA,RB,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2775,Demetric Felton Jr.,FA,RB,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2776,Duke Johnson,FA,RB,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2777,Tyler Johnson,FA,WR,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2778,Giovani Bernard,FA,RB,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2779,Cole McDonald,FA,QB,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2780,Chase Daniel,FA,QB,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2781,Pharoh Cooper,FA,WR,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2782,Tyree Jackson,FA,TE,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2783,Marcus Kemp,FA,WR,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2784,Brian Hill,FA,RB,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2785,Tarik Black,FA,WR,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2786,Javon Wims,FA,WR,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2787,Daurice Fountain,FA,WR,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2788,Nikola Kalinic,FA,TE,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2789,Thaddeus Moss,FA,TE,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2790,Tanner Conner,FA,TE,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2791,Dillon Stoner,FA,WR,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2792,Tyrie Cleveland,FA,WR,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2793,Tay Martin,FA,WR,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2794,Ryan Griffin,FA,QB,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2795,Trey Edmunds,FA,RB,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2796,Ricky Seals-Jones,FA,TE,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2797,Trestan Ebner,FA,RB,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2798,Chris Streveler,FA,QB,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2799,Emmanuel Sanders,FA,WR,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2800,Damarea Crockett,FA,RB,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2801,Jason Huntley,FA,RB,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2802,Lance McCutcheon,FA,WR,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2803,Jeff Driskel,FA,QB,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2804,Jalen Richard,FA,RB,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2805,Chester Rogers,FA,WR,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2806,Andy Janovich,FA,RB,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2807,Nick Bowers,FA,TE,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2808,Cullen Gillaspia,FA,RB,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2809,Devine Ozigbo,FA,RB,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2810,Kyric McGowan,FA,WR,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2811,James Proche II,FA,WR,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2812,Vyncint Smith,FA,WR,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2813,Dennis Houston,FA,WR,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2814,Cameron Brate,FA,TE,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2815,Jaylen Samuels,FA,RB,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2816,Jaydon Mickens,FA,WR,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
